Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
dblp,Patterns,small_dense_4v_1,4,4,1,0.0165996,4.48616,96615211,19.8,1.00,100.0,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,4,0.0177633,1.23985,96615211,20.4,3.61,90.2,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,16,0.0171734,0.343529,96615211,22.1,13.05,81.5,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,32,0.0167365,0.187606,96615211,25.1,23.91,74.7,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_1,4,4,64,0.0162616,0.134431,96615211,31.5,33.37,52.1,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,1,0.0165095,4.59503,96615211,19.7,1.00,100.0,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,4,0.0164219,1.23657,96615211,20.2,3.71,92.7,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,16,0.0165411,0.342223,96615211,22.9,13.42,83.8,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,32,0.0166657,0.188031,96615211,24.9,24.43,76.3,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_2,4,4,64,0.0159536,0.134093,96615211,31.3,34.26,53.5,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,1,0.0165937,4.66569,96615211,19.9,1.00,100.0,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,4,0.0163775,1.23575,96615211,20.4,3.77,94.2,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,16,0.016521,0.34397,96615211,22.6,13.56,84.7,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,32,0.0158006,0.18769,96615211,24.4,24.85,77.6,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_3,4,4,64,0.0156551,0.135362,96615211,31.0,34.46,53.8,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,1,0.0162604,1.04151,16713192,19.9,1.00,100.0,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,4,0.0171793,0.284011,16713192,20.1,3.66,91.5,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,16,0.0157405,0.0899919,16713192,21.2,11.57,72.3,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,32,0.0170607,0.0607604,16713192,22.0,17.14,53.5,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_4,4,6,64,0.016143,0.0509336,16713192,23.8,20.44,31.9,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_5,4,3,1,0.0162848,3.90607,431568151,19.8,1.00,100.0,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_5,4,3,4,0.0166101,1.08212,431568151,20.0,3.60,90.0,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_5,4,3,16,0.0165204,0.291093,431568151,20.3,13.41,83.8,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_5,4,3,32,0.0169675,0.160028,431568151,20.9,24.40,76.2,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_5,4,3,64,0.0162179,0.116009,431568151,21.9,33.67,52.6,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_6,4,4,1,0.0155935,4.53245,96615211,19.8,1.00,100.0,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_6,4,4,4,0.017581,1.31043,96615211,20.2,3.45,86.2,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_6,4,4,16,0.0167168,0.345762,96615211,22.6,13.10,81.8,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_6,4,4,32,0.0159483,0.18842,96615211,24.7,24.05,75.1,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_6,4,4,64,0.0167215,0.135477,96615211,31.5,33.45,52.2,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_7,4,6,1,0.016082,1.03938,16713192,19.9,1.00,100.0,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_7,4,6,4,0.01678,0.283834,16713192,20.1,3.66,91.5,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_7,4,6,16,0.0173709,0.0916971,16713192,21.1,11.33,70.8,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_7,4,6,32,0.015368,0.0605741,16713192,22.0,17.15,53.5,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_7,4,6,64,0.0162158,0.0500112,16713192,24.0,20.78,32.4,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_8,4,3,1,0.0164448,4.91863,252447350,19.6,1.00,100.0,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_8,4,3,4,0.0168642,1.32756,252447350,19.9,3.70,92.5,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_8,4,3,16,0.0156284,0.367896,252447350,20.3,13.36,83.5,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_8,4,3,32,0.0162798,0.199769,252447350,20.6,24.62,76.9,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_8,4,3,64,0.0161747,0.138152,252447350,21.3,35.60,55.6,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_9,4,6,1,0.0160435,1.04025,16713192,19.7,1.00,100.0,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_9,4,6,4,0.0167215,0.270107,16713192,20.2,3.85,96.2,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_9,4,6,16,0.0161048,0.0903739,16713192,21.2,11.51,71.9,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_9,4,6,32,0.0162371,0.06002,16713192,22.1,17.33,54.1,SUCCESS,GraphMini pattern worked!
dblp,Patterns,small_dense_4v_9,4,6,64,0.0169621,0.0507839,16713192,24.0,20.48,32.0,SUCCESS,GraphMini pattern worked!
